able abler ablest
angry angrier angriest
bad worse worst
bald balder baldest
big bigger biggest
black blacker blackest
blond blonder blondest
bloody bloodier bloodiest
blue bluer bluest
brave braver bravest
brief briefer briefest
bright brighter brightest
broad broader broadest
brown browner brownest
bubbly bubblier bubbliest
bushy bushier bushiest
busy busier busiest
calm calmer calmest
cheap cheaper cheapest
clammy clammier clammiest
classy classier classiest
clean cleaner cleanest
clear clearer clearest
clever cleverer cleverest
close closer closest
coarse coarser coarsest
cocky cockier cockiest
cold colder coldest
common commoner commonest
cool cooler coolest
costly costlier costliest
cozy cozier coziest
crafty craftier craftiest
crazy crazier craziest
cruel crueler cruelest
curious curiouser curiousest
cute cuter cutest
dark darker darkest
dead deader deadest
deadly deadlier deadliest
deep deeper deepest
dense denser densest
dim dimmer dimmest
dirty dirtier dirtiest
dreamy dreamier dreamiest
dreary drearier dreariest
dry drier driest
dull duller dullest
dumb dumber dumbest
early earlier earliest
easy easier easiest
empty emptier emptiest
fair fairer fairest
far farther farthest
fast faster fastest
few fewer fewest
fierce fiercer fiercest
fine finer finest
fit fitter fittest
fizzy fizzier fizziest
flashy flashier flashiest
flat flatter flattest
fleet fleeter fleetest
foolhardy foolhardier foolhardiest
fresh fresher freshest
frosty frostier frostiest
full fuller fullest
funny funnier funniest
fuzzy fuzzier fuzziest
gassy gassier gassiest
glad gladder gladdest
glassy glassier glassiest
gloomy gloomier gloomiest
glossy glossier glossiest
good better best
grand grander grandest
gray grayer grayest
great greater greatest
green greener greenest
grey greyer greyest
gross grosser grossest
guilty guiltier guiltiest
happy happier happiest
hard harder hardest
healthy healthier healthiest
heavy heavier heaviest
hefty heftier heftiest
high higher highest
holy holier holiest
hot hotter hottest
humble humbler humblest
hungry hungrier hungriest
idle idler idlest
keen keener keenest
kind kinder kindest
large larger largest
late later latest
lazy lazier laziest
light lighter lightest
likely likelier likeliest
little littler littlest
lofty loftier loftiest
lonely lonelier loneliest
long longer longest
loose looser loosest
loud louder loudest
lovely lovelier loveliest
low lower lowest
lucky luckier luckiest
lumpy lumpier lumpiest
mighty mightier mightiest
mild milder mildest
minute minuter minutest
murky murkier murkiest
mushy mushier mushiest
narrow narrower narrowest
nasty nastier nastiest
near nearer nearest
neat neater neatest
new newer newest
nice nicer nicest
nutty nuttier nuttiest
odd odder oddest
old older oldest
orange oranger orangest
pale paler palest
phony phonier phoniest
picky pickier pickiest
pink pinker pinkest
pithy pithier pithiest
poor poorer poorest
pretty prettier prettiest
pricey pricier priciest
pure purer purest
purple purpler purplest
quick quicker quickest
quiet quieter quietest
rare rarer rarest
red redder reddest
rich richer richest
rough rougher roughest
round rounder roundest
rude ruder rudest
rusty rustier rustiest
sad sadder saddest
safe safer safest
salty saltier saltiest
sane saner sanest
sassy sassier sassiest
savvy savvier savviest
scarce scarcer scarcest
shabby shabbier shabbiest
shallow shallower shallowest
sharp sharper sharpest
shiny shinier shiniest
short shorter shortest
shy shier shiest
sick sicker sickest
simple simpler simplest
skinny skinnier skinniest
slow slower slowest
small smaller smallest
smart smarter smartest
smooth smoother smoothest
soft softer softest
sorry sorrier sorriest
sparse sparser sparsest
spicy spicier spiciest
spiky spikier spikiest
spunky spunkier spunkiest
square squarer squarest
steady steadier steadiest
steep steeper steepest
sticky stickier stickiest
stiff stiffer stiffest
still stiller stillest
stingy stingier stingiest
straight straighter straightest
strange stranger strangest
strict stricter strictest
stringy stringier stringiest
strong stronger strongest
sunny sunnier sunniest
sure surer surest
sweet sweeter sweetest
tacky tackier tackiest
tall taller tallest
tardy tardier tardiest
tasty tastier tastiest
tawdry tawdrier tawdriest
tense tenser tensest
thick thicker thickest
thin thinner thinnest
tight tighter tightest
timely timelier timeliest
tinny tinnier tinniest
tiny tinier tiniest
touchy touchier touchiest
tough tougher toughest
tricky trickier trickiest
trim trimmer trimmest
true truer truest
ugly uglier ugliest
unlikely unlikelier unlikeliest
vague vaguer vaguest
warm warmer warmest
wary warier wariest
weak weaker weakest
wealthy wealthier wealthiest
weary wearier weariest
weird weirder weirdest
#well #better #best
wet wetter wettest
white whiter whitest
wide wider widest
wiry wirier wiriest
wise wiser wisest
wispy wispier wispiest
wordy wordier wordiest
worthy worthier worthiest
yellow yellower yellowest
young younger youngest
